id,title,year,location,lat,lng,category,description
Hatch_UDB_15,Baffling Event Leaves Witnesses in Awe,1269,"KRAKOW, POLAND",50.100002,20.016668,UAP,Many observer(s). Cross-shape lights town like a strong projector. / Cromer.
Hatch_UDB_16,Baffling Event Leaves Witnesses in Awe,1271,JAPAN / LOCATION UNKNOWN,37.000002,140.000007,OTHER,Sudden 'extra moon'. Panic stops execution of priest / r186 #23.
Hatch_UDB_17,Baffling Event Leaves Witnesses in Awe,1322,"UXBRIDGE, ENGL",51.533336,-0.45,OTHER,Big pillar / fire. Rises going south. Fireball / front shoots beams. Turns going north and away.
Hatch_UDB_18,Baffling Event Leaves Witnesses in Awe,1361,OFF WEST JAPAN,37.000002,134.83334,UAP,"Date unknown. 6M ""drum shaped object"" emerges from sea and flies away. No further details."
Hatch_UDB_19,Flaming Apparition Witnessed in Night Sky,1387,"DERBYSHIRE AND LEICS COS, ENGL",53.000003,-1.5,OTHER,Fiery wheel / barrel spins. Strong rays. Cloud dumps 'blood'.
Hatch_UDB_20,Flying Saucer Formation Overhead,1388,"RAGUSA, ITALY",36.966668,14.683334,OTHER,Several friars. Luminous bodies fly single file / 1 hour. / Belgian UFO Society (SOBEPS) r186#23.
Hatch_UDB_21,Baffling Event Leaves Witnesses in Awe,1415,"AGINCOURT, FR",50.455558,2.127778,OTHER,Fast fireballs strike with a disabling beam French troops. Henry V wins historic battle.
Hatch_UDB_22,Baffling Event Leaves Witnesses in Awe,1433,"NICE, FR",43.716669,7.25,OTHER,St. Boniface Manuscript v2p397. Luminous globe appears / sky / several hours. No further details.
Hatch_UDB_23,Baffling Event Leaves Witnesses in Awe,1458,JAPAN / LOCATION UNKNOWN,35.850002,139.666673,OTHER,5 'stars' appear. Circle the moon. Change colors 3 times.. vanish.
Hatch_UDB_24,Silent Aerial Object Displays Unusual Movement,1461,"ARRAS, FRANCE",50.300002,2.766667,UAP,Fiery rod hovers / 15 minute(s). Suddenly spirals and twists upward and gone! / IFS#23.
Hatch_UDB_25,Baffling Event Leaves Witnesses in Awe,1468,"MT. KASUGA, JAPAN",35.800002,139.63334,UAP,Dark object makes 'wheel-like sound'. Flies going quickly west from mountain. No further details.
Hatch_UDB_26,Shadowy Humanoid Presence Observed at Night,1491,"MILANO, ITL",45.466669,9.2,NHI,"Fazio Cardano. 7 small humanoids (or Greys). ""Live 300 years.. can't say much / special laws..""."
Hatch_UDB_27,Flaming Apparition Witnessed in Night Sky,1520,"ERFURT, PRUSSIA",50.983336,11.066667,UAP,Round glow. Rotating beam scorches ground. Also 2 fiery spheres. / r8 p??
Hatch_UDB_28,Baffling Event Leaves Witnesses in Awe,1535,"STOCKHOLM, SWD",59.350003,18.000001,OTHER,"Many observer(s). '7 suns' circle city. Same over Weimar, Germany / same date."
Hatch_UDB_29,Baffling Event Leaves Witnesses in Awe,1551,"LISBON, PORTUGAL",38.683335,-9.066667,UAP,Flying red cylinders and fireballs terrify population. 'Rain of blood'(?)
Hatch_UDB_30,Baffling Event Leaves Witnesses in Awe,1554,"SALON-DE-PROVENCE AND ST. CHALMAS, FR",43.650002,5.1,OTHER,Lance' wobbles east going quickly west. Flames all over. Seen / 2 hours.
Hatch_UDB_31,Flying Saucer Formation Overhead,1557,"NEAR TUBINGEN, GERM",48.550002,9.083334,NHI,Many large colored 'hats' exit odd clouds. Small humanoids (or Greys) too? / Belgian UFO Society (SOBEPS) IFS#24.
Hatch_UDB_32,Flying Saucer Formation Overhead,1561,"NUREMBURG, GERM",49.450002,11.116667,UAP,Spheres and disks exit cylinder/cylindrical object / sky. Gone in flames. 'Common event' / r2p12.
Hatch_UDB_33,Flying Saucer Formation Overhead,1566,"BASEL, SWZ",47.500002,7.583334,UAP,Large tilted cylinder/cylindrical object and many black disks. Aerial combat? / IFS#24+/ r221p14.
Hatch_UDB_34,Flying Saucer Formation Overhead,1606,"KYOTO, JAPAN",35.000002,135.766673,OTHER,May. Many fireballs. Flaming wheel spins near Nijo Castle. / Belgian UFO Society (SOBEPS) IFS#24.
Hatch_UDB_35,Silent Aerial Object Displays Unusual Movement,1614,"WESTLEY, ENGLAND",52.250002,0.666667,UAP,Church records. 3 'suns' hover / one hour. Back again 18 Mar. '1639. No further details.
Hatch_UDB_36,Baffling Event Leaves Witnesses in Awe,1621,"PARIS AND ST. DENIS, FR",48.816669,2.316667,OTHER,Separate observer(s). Contrails and white 'crowns' move in groups. / r186#24.
Hatch_UDB_37,Baffling Event Leaves Witnesses in Awe,1646,"NEWMARKET TO/FROM THETFORD, ENGL",52.366669,0.55,OTHER,Vertical cloud-cylinder/cigar-shape goes going down. Rises. Changes shape and gone.
Hatch_UDB_38,Baffling Event Leaves Witnesses in Awe,1660,LONDON,51.500002,-0.133333,OTHER,Bright white cloud 'drops fire' / Westminster Hall and parliament.
Hatch_UDB_39,Silent Aerial Object Displays Unusual Movement,1672,"OFF CHERBOURG, FR",49.833336,-1.75,UAP,Dark 'flying ship' hovers still / wind. No sails. Going quickly south. / r186#25.
Hatch_UDB_40,Baffling Event Leaves Witnesses in Awe,12/10/1685,MOON,90.000004,-0.0,OTHER,Astronomer Bianchini. Reddish ray / light crosses crater Plato during eclipse.
Hatch_UDB_41,Silent Aerial Object Displays Unusual Movement,7/9/1686,"LEIPZIG, GER",51.333336,12.400001,UAP,Astronomer Kirch and more/others. Moon-size fireball hovers / 8 minute(s). Altitude = 50km. Same / 22 Mar. '1680.
Hatch_UDB_42,Formation of Lights Displays Intelligent Movement,5/6/1692,"EDO = TOKYO, JAPAN",35.683335,139.766673,UAP,3 objects in formation. Type unknown. 6 wheels and 2 flying barns in Wales / 1694.
Hatch_UDB_43,Baffling Event Leaves Witnesses in Awe,12/18/1707,SEVERAL COS / SOUTH ENGL,52.000002,-2.0,UAP,Huge cylinder/cylindrical object and odd cloud and night lights move together. Low / horizon. / Rev. John Morton.
Hatch_UDB_44,Baffling Event Leaves Witnesses in Awe,3/1/1716,OFF NORTHWEST SPAIN,45.600002,-10.0,UAP,British ship. Glowing cloud divided / beams of light. Seen / 15 hours and vanishes.
Hatch_UDB_45,Flying Saucer Formation Overhead,3/6/1716,LONDON,51.500002,-0.1,OTHER,Astronomer Edmond Halley. UFO / 2 hours. 'Bright enough to read'. Type unknown.
Hatch_UDB_46,Baffling Event Leaves Witnesses in Awe,10/19/1726,"ATH, BELGIUM",50.622225,3.772222,UAP,Large glowing clouds collide. Fireballs and light circles. Same / Vilvoorde later.
Hatch_UDB_47,Baffling Event Leaves Witnesses in Awe,12/9/1731,"FIRENZE, ITALY",43.783335,11.250001,OTHER,Luminous cloud' going quickly [to] overhead at high velocity. / Charles Fort / news.
Hatch_UDB_48,Flying Saucer Formation Overhead,12/8/1733,"FLEET, DORSET",51.283336,-0.833333,UAP,1+2 observer(s). Silver saucer darts to and fro. Going quickly northwest. Same Berks to/from Kent / 11 Dec. '1753.
Hatch_UDB_49,Baffling Event Leaves Witnesses in Awe,12/11/1741,"HERTSFORDSHIRE AND LONDON, ENG",51.500002,-0.066667,OTHER,20cm fireball falls. Levels going quickly ESE and away. / r186#26+/ r34p85.
Hatch_UDB_50,Baffling Event Leaves Witnesses in Awe,12/16/1743,LONDON,51.500002,-0.05,UAP,M. Cromwell. Flaming red-glowing cylinder/cylindrical object rises. Going northeast / slow wavy trajectory. / MJ#148.
Hatch_UDB_51,Flying Saucer Formation Overhead,6/6/1744,"HRADEC-KRALOVY, CZK",50.200002,15.833334,UAP,"2 brilliant disks seen. No further details. / Lumieres dans la Nuit (monthly, Paris) #326p34."
Hatch_UDB_52,Baffling Event Leaves Witnesses in Awe,1/2/1749,JAPAN / LOCATION UNKNOWN,36.050002,140.000007,UAP,3 moonlike objects / 4 days. Later they line up. Days later 2 more show.
Hatch_UDB_53,Baffling Event Leaves Witnesses in Awe,4/15/1752,"STAVANGER, NORWAY",58.950003,5.716667,OTHER,Octagonal star' seen. / Charles Fort / Book of the Damned and IFS#26.
Hatch_UDB_54,Baffling Event Leaves Witnesses in Awe,6/1/1752,"AUGERMANLAND, SWD",60.000003,15.000001,UAP,Luminous spheres exit bright cylinder/cylindrical object in sky. Coordinates approximate. / IFS#26.
Hatch_UDB_55,Silent Aerial Object Displays Unusual Movement,8/15/1755,"CHISWICK, LONDON",51.483336,-0.266667,UAP,Odd sphere shoots brilliant beams. Drops and hovers just over ground.
Hatch_UDB_56,Baffling Event Leaves Witnesses in Awe,1/2/1756,"TORINO, ITL",45.083335,7.75,UAP,Blast shakes sky. Blue object shoots flames / 20 minutes passing. No further details.
Hatch_UDB_57,Flying Saucer Formation Overhead,11/26/1758,"EDINBURGH, SCOTLAND",55.950003,-3.233333,UAP,Fast conical object flies over. Offloads 3 small disks and flies away!
Hatch_UDB_58,Flying Saucer Formation Overhead,8/9/1762,"BASEL AND SOLETHURN, SWZ",47.516669,7.566667,UAP,2 astronomers. Huge cylinder/cigar-shape crosses solar disk. Outer edge glows.
Hatch_UDB_59,Baffling Event Leaves Witnesses in Awe,9/1767,"COUPAR ANGUS, SCOT",56.550003,-3.266667,OTHER,Pyramid. Lifts cart. Knocks man / horse. Damages buildings. / r186#28.
Hatch_UDB_60,Baffling Event Leaves Witnesses in Awe,9/1/1768,"NEAR LEIPZIG, GERMANY",51.300002,12.400001,UAP,Goethe. Ballet of miniature lights / roadside hollow. / IFS#28.
Hatch_UDB_61,Baffling Event Leaves Witnesses in Awe,2/5/1780,"BUSSIERES, FR",48.92778,3.238889,UAP,Civil records. Flaming 'dragon' going [to] overhead / 15 minute(s). Lights all below brightly.
Hatch_UDB_62,Brilliant Celestial Object Streaks Across Sky,8/18/1783,"GREENWICH, ENGL AND BELGIUM",51.466669,-0.0,UAP,Cloud cylinder/cigar-shape and 8 spheres all going southeast slow. Meteors? / r2p13+IFS#28.
Hatch_UDB_63,Baffling Event Leaves Witnesses in Awe,11/27/1793,"FLORESTI, ROM",45.100002,23.850001,NATURAL PHENOMENA,Earthquake. Next day 'moon' east going west / 30 minute(s) across sky and stops! / LDLN#119.
Hatch_UDB_64,Baffling Event Leaves Witnesses in Awe,11/18/1795,"DERBY, ENGL",52.938891,-1.466667,OTHER,Many observer(s). Fireball bounces going up and down. Odd clouds. Sonic booms. No further details. / Periodicals.
Hatch_UDB_65,Baffling Event Leaves Witnesses in Awe,10/1796,"NEW MINAS, NS",45.072224,-64.472225,OTHER,3 observer(s). 15 airships going quickly east. Man seen / front end / 1 ship. / r54p18.
Hatch_UDB_66,Flying Saucer Formation Overhead,9/10/1798,"ALNWICK, NORTH ENGLAND",55.07778,-1.716667,UAP,Cylinder/cylindrical object jumps from cloud. Splits going [to] 2 saucers with luminous rays. Vanishes / 5 minute(s).
Hatch_UDB_67,Brilliant Celestial Object Streaks Across Sky,7/1799,"BRUGES, BELGIUM",51.200002,3.2,NATURAL PHENOMENA,Unusual meteor goes south. Returns going quickly north. Then makes 45° turn going quickly northwest.
Hatch_UDB_68,Flying Saucer Formation Overhead,2/22/1803,"NEAR TOKYO, JAPAN",35.500002,139.666673,UAP,6M saucer-ship floats ashore. Young woman exits. Very white skin..
Hatch_UDB_69,Baffling Event Leaves Witnesses in Awe,5/16/1808,"SKANNINGE, SWEDEN",58.394447,15.077778,UAP,Sky turns red. Brown hat-crown size objects pass overhead going quickly east. / Charles Fort.
Hatch_UDB_70,Baffling Event Leaves Witnesses in Awe,8/10/1809,LONDON,51.516669,-0.083333,UAP,Scientist Staveley. Many night lights maneuver / dark cloud cover. No further details. / r2p14.
Hatch_UDB_71,Brilliant Celestial Object Streaks Across Sky,11/7/1811,"LONDON, ENG",51.483336,-0.1,NATURAL PHENOMENA,T. Forster. Large meteor moves in sudden jumps. Enters cloud. Never exits.
Hatch_UDB_72,Baffling Event Leaves Witnesses in Awe,4/1812,"NORTHEAST / MANOSQUE, FR",43.916669,5.916667,UAP,7 observer(s). Luminous globe going [to] over road. 4 figure(s) with lights inside. Volcano active.
Hatch_UDB_73,Silent Aerial Object Displays Unusual Movement,5/1/1812,BARBADOS ISLAND,13.083334,-59.550003,UAP,2 large colored clouds hover / 12 hours. Other clouds move. Blasts. Big ash fall.
Hatch_UDB_74,Brilliant Celestial Object Streaks Across Sky,3/22/1813,LONDON AND AREA,51.516669,-0.116667,UAP,Triangular 'meteor' hovers near cloud. Going west. Beams rays all over/all about. Glowing-orbs exit.
Hatch_UDB_75,Silent Aerial Object Displays Unusual Movement,9/5/1814,"NORTHWEST / AGEN, FR",44.333335,0.5,UAP,Small round cloud hovers / strong wind. Spins and shoots going quickly south. Stones fall. Fades.
Hatch_UDB_76,Flying Saucer Formation Overhead,9/25/1817,"LANEJOIS, FR",44.500002,3.577778,UAP,3 observer(s). Red-glowing disk disk going [to] near Roman ruins / 2-3 minute(s). / Journal de Lozere.
Hatch_UDB_77,Flying Saucer Formation Overhead,9/7/1820,"EMBRUN, FR",44.566669,6.5,UAP,Many observer(s). Saucers maneuver / military precision during lunar eclipse. 90° turns etc.
Hatch_UDB_78,Flying Saucer Formation Overhead,10/23/1822,"BERLIN, GERMANY",52.533336,13.400001,UAP,Date unknown. Astronomer Pastorff. 2 disks pass sun's face. No further details.
Hatch_UDB_79,Brilliant Celestial Object Streaks Across Sky,8/7/1823,"NOBLESVILLE, IN",40.033335,-86.016671,NATURAL PHENOMENA,12M square cloud / clear sky. Spirals going down. Shots heard. Drops meteorite!
Hatch_UDB_80,Baffling Event Leaves Witnesses in Awe,2/11/1824,DARK LIMB OF MOON,90.000004,-0.0,OTHER,Light flashes intermittently / 30 minute(s). / observatory record.
Hatch_UDB_81,Baffling Event Leaves Witnesses in Awe,10/20/1824,DARK PART / MOON,90.000004,-0.0,UAP,Astronomer. Bright object 400X200 km. wide! Going quickly [to] Mt. Copernicus.
Hatch_UDB_82,Baffling Event Leaves Witnesses in Awe,8/12/1825,SEA NEAR HAWAII,21.333334,-158.000008,UAP,A. Bloxam. Round glowing object rises / sea going up [to] clouds & descends twice.
Hatch_UDB_83,Baffling Event Leaves Witnesses in Awe,5/28/1828,"NURNBERG, GERM",49.466669,11.116667,NHI,Kaspar Hauser age 17. Apparently raised / aliens. Amazing. see reference.
Hatch_UDB_84,Baffling Event Leaves Witnesses in Awe,10/1828,"CASSADAGA SWAMP, NY",42.316669,-79.300004,OTHER,Man lost. Brilliant 12M square / light guides him back to road twice!
Hatch_UDB_85,Baffling Event Leaves Witnesses in Awe,7/4/1832,MOON,90.000004,-0.0,OTHER,Astronomer Webb. Dot and dash flashes / Mare Crisium. Blots and rays / light. / r223p51.
Hatch_UDB_86,Baffling Event Leaves Witnesses in Awe,7/1836?,"SZEGED, HUNGARY",46.250002,20.150001,UAP,Spherical lights. Lady-in-white appears and vanishes. Local uproar.
Hatch_UDB_87,Baffling Event Leaves Witnesses in Awe,6/30/1842,"CUPAR, FIFE, SCOTLAND",56.322225,-3.005556,OTHER,Big boom. Clothes fly off lines. Some drop. Others fly away!
Hatch_UDB_88,Silent Aerial Object Displays Unusual Movement,7/1842?,"ORENBURG, RUSSIA",41.833335,55.083336,UAP,Odd cloud hovers. Perfectly hexagonal metal pieces fall! P280.
Hatch_UDB_89,Baffling Event Leaves Witnesses in Awe,3/5/1843,"BUCHAREST, ROM",44.433335,26.100001,NATURAL PHENOMENA,Signs appear in sky. One is [a] pyramidal comet. Not weather balloon.
Hatch_UDB_90,Baffling Event Leaves Witnesses in Awe,5/11/1845,"CAPODIMONTE OBSERVER(S), ITL",40.866669,14.200001,OTHER,Astronomer. Odd shapes pass suns face / 2 days. / Nature. / r2p15.
Hatch_UDB_91,Flying Saucer Formation Overhead,6/18/1845,NORTHWEST / MALTA,36.683335,13.744445,UAP,Steamship Victoria. Wind stops. 3 luminous silver saucers rise / sea. Hover. Shoot going up. / r44p34.
Hatch_UDB_92,Baffling Event Leaves Witnesses in Awe,3/18/1847,DARK PART / MOON,90.000004,-0.0,OTHER,Luminous dots appear / 2 days. 11+12 December. Bright flashing light / dark part.
Hatch_UDB_93,Flying Saucer Formation Overhead,10/17/1849,"BANGALORE, INDIA",13.050001,77.650004,UAP,Lt. Hershel. Luminous disks stream past sun. 1 pauses then burst / speed.
Hatch_UDB_94,Brilliant Celestial Object Streaks Across Sky,12/8/1850,"ABERDEEN, SCOTLAND",57.166669,-2.133333,NATURAL PHENOMENA,Violet meteor north going south. Shoots out small fiery ball / 90° to original trajectory.
Hatch_UDB_95,Baffling Event Leaves Witnesses in Awe,12/17/1852,"DOVER, KENT",51.166669,1.316667,NATURAL PHENOMENA,Triangular cloud with tail appears / storm. 1/2 moon-size. Blast. Dissipates.
Hatch_UDB_96,Baffling Event Leaves Witnesses in Awe,7/13/1860,"WILMINGTON, DE",39.733335,-75.550004,UAP,60M object / 30m altitude. Type unknown. 3 glowing-balls trail / 30m intervals.
Hatch_UDB_97,Baffling Event Leaves Witnesses in Awe,3/19/1861,"MENDOZA, ARG AND AREA",-32.883335,-68.81667,UAP,Round glowing-orbs all over. Huge quake kills thousands next day.
Hatch_UDB_98,Silent Aerial Object Displays Unusual Movement,8/12/1863,"EAST / MADRID, SP",40.450002,-3.666667,UAP,Luminous object / horizon. Halo / top. Hovers then maneuvers / all directions. / Gaceta de Madrid.
Hatch_UDB_99,Baffling Event Leaves Witnesses in Awe,4/10/1865,MOON,90.000004,-0.0,OTHER,Astronomer Ingall. Perfect point / Steller light / Mare Crisium! Also blots and lines.
Hatch_UDB_100,Baffling Event Leaves Witnesses in Awe,5/4/1866,MOON,90.000004,-0.0,OTHER,Linne crater changes black to white. Small well-defined dots appear there.
Hatch_UDB_101,Baffling Event Leaves Witnesses in Awe,6/10/1867,"SULPICIUS GALLUS, MOON",90.000004,-0.0,OTHER,3 black dots appear. Stay until 13 June when they vanish!
Hatch_UDB_102,Baffling Event Leaves Witnesses in Awe,3/15/1868,COPIAPO CHILE,-27.366668,-70.333337,OTHER,Giant bird with scales. Metallic noise. Low altitude. No further details. / r8#001 / Charles Fort.
Hatch_UDB_103,Baffling Event Leaves Witnesses in Awe,7/25/1868,"PARRAMATTA, AUST",-33.816668,151.005563,UAP,Dream? Flying head invites observer(s) / flying ark. See reference! / r174p23.
Hatch_UDB_104,Brilliant Celestial Object Streaks Across Sky,11/14/1868,"MEDFORD, MA",42.416669,-71.094448,NATURAL PHENOMENA,Astronomer Trouvelot. 5 hours / meteors. One / 90° turn. Some curve and reverse!
Hatch_UDB_105,Baffling Event Leaves Witnesses in Awe,8/16/1869,"MARE CRISIUM, MOON",90.000004,-0.0,UAP,Astronomers. Odd lights maneuver / changing patterns til March / 1870.
Hatch_UDB_106,Flying Saucer Formation Overhead,3/22/1870,SS / ATLANTIC,5.783334,-27.866668,UAP,Light grey saucer flies into wind / 30 minute(s). Hook-shape appendage / r221p15.
Hatch_UDB_107,Baffling Event Leaves Witnesses in Awe,4/5/1870,"GENT = GAND, BELGIUM",51.200002,3.716667,OTHER,Several / observer(s). Ring becomes wheel going [to] ovoid going [to] fish shape. Vibrant bright red and fast.
Hatch_UDB_108,Brilliant Celestial Object Streaks Across Sky,8/1/1871,"MARSEILLE, FR",43.250002,5.383334,NATURAL PHENOMENA,Meteor going quickly / 20 minute(s). Several stops and 90° turns. Drops going [to] horizon. / Nature Oct. '1871.
Hatch_UDB_109,Baffling Event Leaves Witnesses in Awe,8/29/1871,"MEUDON, FR",48.800002,2.233333,OTHER,Astronomer Trouvelot. Several orbs and triangles. 1 / dead leaf drop. / r221p15.
Hatch_UDB_110,Baffling Event Leaves Witnesses in Awe,10/4/1871,"HIGH WYCOMB, BUCKS",51.611114,-0.744444,UAP,Night lights. Box found / leaves. Sprouts eyes and probes. Catches rat! References.
Hatch_UDB_111,Baffling Event Leaves Witnesses in Awe,12/7/1872,"BANBURY, ENG",52.066669,-1.333333,OTHER,Haystack' going [to] high and low. Wrecks trees and walls. Smoke and flame. Vanishes. / r221p15.
Hatch_UDB_112,Flying Saucer Formation Overhead,3/9/1873,"PARRAMATTA, NSW",-33.833335,151.000007,UAP,3 brown colored clouds. Large object extends screws going down. Saucer appears between screws.
Hatch_UDB_113,Baffling Event Leaves Witnesses in Awe,9/10/1873,"NEAR CLERMONT-FERRAND, FR",45.766669,3.083333,OTHER,3cm stones fall very slowly. Normal fall rate on rebound.
Hatch_UDB_114,Baffling Event Leaves Witnesses in Awe,4/24/1874 ,"PRAGUE, CZ",50.083336,14.433334,UAP,Astronomer Schafarick. Vibrant bright slow white object crosses moons face going [to] space.
Hatch_UDB_115,Baffling Event Leaves Witnesses in Awe,7/6/1874,"OAXACA, MEXICO",17.050001,-96.700005,OTHER,130M spiral 'trumpet'. 60M bell hangs going down. Floats 5 minute(s) and vanishes.
Hatch_UDB_116,Baffling Event Leaves Witnesses in Awe,4/15/1875,"GMX NEAR VERACRUZ, MX",19.250001,-95.916671,OTHER,Sea Captain. Luminous straight lines appear / sea surface.
Hatch_UDB_117,Baffling Event Leaves Witnesses in Awe,5/15/1877,"ALDERSHOT, HAMPS",51.250002,-0.75,OTHER,Helmeted figure floats over guards who shoot. Stunned / beam. / r221p15.
Hatch_UDB_118,Flying Saucer Formation Overhead,1/24/1878,"SOUTH / DENISON, TX",33.750002,-96.550005,UAP,Farmer J. Martin. Flying saucer / wonderful speed. Longitude & latitude coords. approximate. / r204p134.
Hatch_UDB_119,Baffling Event Leaves Witnesses in Awe,7/30/1878,"EDWARDSVILLE, KS",39.061113,-94.822227,UAP,Railroad/railway crew. 'Train' nears. Steam and lights. Jumps track and enters woods!
Hatch_UDB_120,Baffling Event Leaves Witnesses in Awe,4/13/1879,LOCATION UNKNOWN,90.000004,-0.0,UAP,Astronomer Harrison. Inexplicable object maneuvers 3.5 hours. Very bright.
Hatch_UDB_121,Baffling Event Leaves Witnesses in Awe,5/15/1879,SS VULTUR / PERSIAN GULF,26.433335,53.183336,UAP,2 40M luminous/glowing wheels spin and descend slow. Back / 1880. / r2p17.
Hatch_UDB_122,Baffling Event Leaves Witnesses in Awe,3/26/1880,"LAMY, NM",35.483335,-105.877783,OTHER,4 observer(s). Fish-blimp with prop and 8 figure(s). Music and gibberish. Drops flower and cup. / r221.
Hatch_UDB_123,Baffling Event Leaves Witnesses in Awe,5/1880,PERSIAN GULF,27.000001,52.000002,OTHER,HMS Patna swept / 16 spokes / light from 300M luminous wheels / sea. / r28 p71.
Hatch_UDB_124,Baffling Event Leaves Witnesses in Awe,7/28/1880,"LOUISVILLE, KY AND MADISONVILE",38.233335,-85.716671,OTHER,Numerous observer(s). Dumbell-ovoid maneuvers all directions up and down. See reference.
Hatch_UDB_125,Baffling Event Leaves Witnesses in Awe,7/30/1880,"ST. PETERSBURG, RUSSIA",59.933336,30.366668,UAP,Large and 2 small glowing orbs follow ravine / 3 minute(s). / r84p280.
Hatch_UDB_126,Baffling Event Leaves Witnesses in Awe,8/25/1880,"BAGNERES-DE-LUCHON, FR",42.766669,0.6,NATURAL PHENOMENA,Yellow cylinder/cigar-shape exits storm clouds. Pointed ends. Drops something.
Hatch_UDB_127,Baffling Event Leaves Witnesses in Awe,6/11/1881,"MELBOURNE TO/FROM SYDNEY, AU",-39.500002,144.000007,OTHER,"Prince / Wales and 13. ""Phantom vessel all aglow"" / sky. / r2p17."
Hatch_UDB_128,Baffling Event Leaves Witnesses in Awe,7/3/1882,MOON,90.000004,-0.0,UAP,2 luminous/glowing delta/triangle/box-like crafts / upper limb. 2 dark triangles / lower limb 30 minute(s) later. / Charles Fort and more/others.
Hatch_UDB_129,Brilliant Celestial Object Streaks Across Sky,2/5/1883,"ARVIKA, SWEDEN",59.594447,12.538889,NATURAL PHENOMENA,Huge meteor going northwest / 18s. Turns going southeast. Zigzags / 50 second(s). / Nature March 1883.
Hatch_UDB_130,Baffling Event Leaves Witnesses in Awe,2/23/1883,SPACE,48.844447,1.0,OTHER,New fourth magnetic/magnitude star maneuvers between Orionis and Sirius. Stops and goes according to L'astronomie.
Hatch_UDB_131,Baffling Event Leaves Witnesses in Awe,8/12/1883,"ZACATECAS OBSERVER(S), MEXICO",22.733334,-102.533338,UAP,Astronomer Bonilla. 283 objects pass suns face. Photograph of 1 taken.
Hatch_UDB_132,Baffling Event Leaves Witnesses in Awe,12/27/1883,"NEWCOMERSTOWN, OH",40.272224,-81.605559,OTHER,Many observer(s). Brilliant square night light going north slowly / Eastern sky. Leaves trail.
Hatch_UDB_133,Baffling Event Leaves Witnesses in Awe,7/3/1884,"NORWOOD, NY",44.750002,-74.994448,UAP,Saturn-object going [to] slow overhead. Dark rings / center. / Charles Fort and more / r242p129+/ r85..
Hatch_UDB_134,Baffling Event Leaves Witnesses in Awe,8/22/1885,"OFF SAIGON, VTNM",10.833334,106.800005,OTHER,Men / ship. Large red night light maneuvers in and out / clouds. / L'Astronomie and more / r2p20.
Hatch_UDB_135,Flying Saucer Formation Overhead,11/1/1885,"ADRIANOPLE, TURKEY",41.683335,26.583335,UAP,Slow saucer = 4-moons diameter. Lights campsite. / r221p16+/ r2p20.
Hatch_UDB_136,Flying Saucer Formation Overhead,11/2/1885,"SCUTARI, TURKEY",41.016669,29.033335,UAP,Fireball-saucer circles pier / 6M altitude. Blinding lights. Sinks quietly.
Hatch_UDB_137,Baffling Event Leaves Witnesses in Awe,10/24/1886,"MARACAIBO, VNZ",10.666667,-71.61667,OTHER,Humming and penetrating light. Family / 9 vomits. Burnt. Very radiation/radioactivity sick. / Scientific American.
Hatch_UDB_138,Baffling Event Leaves Witnesses in Awe,11/12/1887,"OFF CAPE RACE, NFL",46.583336,-53.000003,OTHER,Ship crew. Red fireball going up / sea. Going [to] against wind. Dives going down. / r33p7+/ r44p28.
